Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Código da chapa;Classificacao;Desc. da chapa;Fita;Pintura;
23/01/23;500;G24126RM091.1;1141870;203410760999;LATERAL GAV BR SR FP MDP ;;12X110X400; CORTE 5X ;1000;900;2;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=400MM); 2 LADOS;
23/01/23;500;G24126RM091.1;1141870;242412600904;DIVISORIA BALCAO ;12X376X492;12X373X489;;500;180;3;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 2 LADOS (1=373MM/1=; 2 LADOS;
23/01/23;500;G24126RM091.1;1141870;242412600909;LATERAL ESQ BALCAO ;;12X491X645;;500;120;5;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=645MM); 2 LADOS;
23/01/23;500;G24126RM091.1;1141870;242412600901;BASE BALCAO G24126RM ;15X494X1201;15X491X1198;;500;50;10;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=491MM/1=; 1 LADO;
23/01/23;400;G25105EM5Z*.1;1147330;242510505ZE1;BASE AEREO ;;12X248X1026;;400;60;7;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=1026MM); 2 LADOS;
23/01/23;400;G25105EM5Z*.1;1147330;242510505ZE3;DIVISORIA AEREO ;;12X210X300;;400;480;1;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=300MM); 2 LADOS;
23/01/23;400;G25105EM5Z*.1;1147330;242510505ZE6;TAMPO INT ;;12X248X1026;;400;60;7;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=1026MM); 2 LADOS;
23/01/23;400;G25105EM5Z*.1;1147330;242510505ZE8;LATERAL AEREO ;;12X250X490;;800;360;3;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 2 LADOS (1=250MM/1=; 2 LADOS;
23/01/23;400;G25105EM5Z*.1;1147330;242510505ZE7;TAMPO SUP AEREO ;;12X248X1026;;400;60;7;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=1026MM); 1 LADO;
23/01/23;500;G25125PR8N1.1;1144747;242512108NP1;BASE G25121PR ;;15X289X1168;;500;50;10;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=1168MM); 2 LADOS;
23/01/23;500;G25125PR8N1.1;1144747;242512108NP9;TAMPO G25121PR ;;15X289X1168;;500;50;10;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=1168MM); 1 LADO (LADO OPOSTO;
23/01/23;500;G25125PR8N1.1;1144747;242512508NP1;PRATELEIRA G25125PR ;;15X248X577;;1000;100;10;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=577MM); 2 LADOS;
23/01/23;500;G25125PR8N1.1;1144747;242512508NP5;DIVISORIA G25125PR ;;15X250X464;;500;300;2;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=465MM); 2 LADOS;
23/01/23;500;G25125PR8N1.1;1144747;242512508NP4;LATERAL G25125PR ;15X294X498;15X291X495;;1000;150;4;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=291MM/1=; 2 LADOS;
23/01/23;500;G25704RM8N1.1;1144535;242570408N03;LATERAL AEREO G25704RM ;12X294X333;12X291X330;;1000;300;4;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 3 LADOS (2=291MM/1=; 2 LADOS;
23/01/23;500;G25704RM8N1.1;1144535;242570408N01;BASE AEREO G25704RM ;;12X289X674;;500;120;5;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=674MM); 2 LADOS;
23/01/23;500;G25704RM8N1.1;1144535;242570408N05;TAMPO SUP AEREO ;;12X289X674;;500;120;5;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 1 LADO (1=674MM); 1 LADO;
23/01/23;500;G25704RM8N1.1;1144535;242675008N09;PORTA SUSP G26750RM ;15X294X698;15X291X695;;500;100;5;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=291MM/1=; 2 LADOS;
23/01/23;600;G25804AG3Z2.2;1141488;242580403ZA5;PORTA ;15X329X798;15X326X795;;600;100;6;2013001509098;MDP BP 15MM CINZA;MDP BP 15MM (CINZA) (2750X1850) - 2L - DURATEX; 4 LADOS; BP 2 LADOS;
